id,name,bic,country/id,zip,city,street,email,phone
bank_ng_096,FIRST GEN MORTGAGE BANK,070014,base.ng,,,,,
bank_ng_097,FIRST MULTIPLE MFB,090163,base.ng,,,,,
bank_ng_098,FIRST OPTION MFB,090285,base.ng,,,,,
bank_ng_099,FIRST ROYAL MFB,090164,base.ng,,,,,
bank_ng_100,FIRST TRUST MORTGAGE BANK,090005,base.ng,,,,,
bank_ng_101,FIRST TRUST MORTGAGE BANK,090107,base.ng,,,,,
bank_ng_102,FIRSTTRUST MORTGAGE BANK NIGERIA,107,base.ng,,,,,
bank_ng_103,FIRSTMONIE WALLET,100014,base.ng,,,,,
bank_ng_104,FLUTTERWAVE TECH SOLUTIONS,110002,base.ng,,,,,
bank_ng_105,FORTIS MFB,070002,base.ng,,,,,
bank_ng_106,FORTIS MOBILE,100016,base.ng,,,,,
bank_ng_107,FULL RANGE MFB,090145,base.ng,,,,,
bank_ng_108,FUTO MFB,090158,base.ng,,,,,
bank_ng_109,GT MOBILE MONEY,100009,base.ng,,,,,
bank_ng_110,GASHUA MFB,090168,base.ng,,,,,
bank_ng_111,GATEWAY MORTGAGE BANK,070009,base.ng,,,,,
bank_ng_112,GLOBUS BANK,000027,base.ng,,,,,
bank_ng_113,GLORY MFB,090278,base.ng,,,,,
bank_ng_114,GOMONEY,100022,base.ng,,,,,
bank_ng_115,GOMONEY,100022,base.ng,,,,,
bank_ng_116,GOODNEWS MICROFINANCE BANK,50739,base.ng,,,,,
bank_ng_117,GOWANS MFB,090122,base.ng,,,,,
bank_ng_118,GREENBANK MFB,090178,base.ng,,,,,
bank_ng_119,GREENVILLE MFB,090269,base.ng,,,,,
bank_ng_120,GREENWICH MERCHANT BANK,562,base.ng,,,,,
bank_ng_121,GROOMING MFB,090195,base.ng,,,,,
bank_ng_122,GUARANTY TRUST BANK,000013,base.ng,,,,,
bank_ng_123,HACKMAN MFB,090147,base.ng,,,,,
bank_ng_124,HAGGAI MORTGAGE BANK,070017,base.ng,,,,,
bank_ng_125,HALA MFB,090291,base.ng,,,,,
